Name,DiscRef,r_SpT,r_radius,r_log_g,r_Teff,r_Mass,r_D_Trig,r_pm,r_SDSS,r_PanSTARRS_y,JHKRef,MKORef,r_Peculiarities,r_Member,r_Gaia-G,r_RV,Polarization Ref,r_IRAC3p6,r_IRAC4p5,r_MKO-Y,r_Variable,r_Variable_period,r_IRAC5p8,r_IRAC8,r_MKO-L
J1157-0139,Burningham2010b,Burningham2010b,,,,,,,PS1,,,Burningham2010b,,,,,,,,Burningham2010b,,,,,
J1157-4844,Phan-Bao2008,Phan-Bao2008,,,,,,Phan-Bao2008,,,2MASS,,,,,,,,,,,,,,
J1157+0922,Pinfield2008,Pinfield2008,,,,,,,PS1,PS1,,Pinfield2008,,,,,,,,Pinfield2008,,,,,
J1158+6447,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
2M1158,Robert2016,Zhang2017,,,,,,Robert2016,PS1,,2MASS,Zhang2017,Robert2016,,,Kirkpatrick2010;Kirkpatrick2010,,,,Zhang2017,,,,,
J1159+0057,Martin1999,Hawley2002,,,,,,Jameson2008,PS1,PS1,2MASS,,,,,Schmidt2010;West2008,Miles-Paez2013,,,,,,,,
J1159+5409,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,,,,,,,,,,
J1159+3830,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010;West2008,,,,,,,,,
J1200+3406,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J120035.40-283657.5,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
2MASS J12003584-2836572,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,,,,,,,,,,,,,,
WISEA J120104.57+573004.2,Schneider2017,Schneider2017,,,,,,Schneider2017,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1201-1324,Kirkpatrick2016,Kirkpatrick2016,,,,,,,PS1,PS1,2MASS,,,,Gaia1,,,,,,,,,,
J1202+4204,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010;West2008,,,,,,,,,
J1202-0227,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,West2008;Schmidt2010,,,,,,,,,
J1202+0901,Burningham2010b,Burningham2010b,,,,,,,PS1,PS1,,Burningham2010b,,,,,,,,Burningham2010b,,,,,
J1203+0015,Fan2000,Fan2000,,,,,,Jameson2008,SDSS9,,2MASS,,,,,Schmidt2010;Blake2010,,,,,,,,,
J1204-2806,Gagne2015c,Gagne2015c,,,,,,,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,,,,,,,,,,,
J1204+3212,Cruz2003,Cruz2003,,,,,,Jameson2008,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010;West2008,,,,,,,,,
J1204-0150,Scholz2012,Scholz2012,,,,,,,PS1,PS1,,Burningham2013,,,,,,,,Burningham2013,,,,,
J1205-0744,Cuby1999,Burgasser2006,,,,,,,PS1,,,,,,,,,,,,,,,,
J1205+6057,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1206+2813,Chiu2006,Chiu2006,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
WISEA J120604.25+840110.5,Leggett2017,Leggett2017,,,,,Leggett2017,Leggett2017,PS1,PS1,,Leggett2017,,,,,,,,Leggett2017,,,,,
J1206+6242,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1206+1018,Burningham2013,Burningham2013,,,,,,,PS1,PS1,,Burningham2013,,,,,,,,Burningham2013,,,,,
J1206+0016,Kirkpatrick2016,Kirkpatrick2016,,,,,,HSOY,PS1,PS1,2MASS,,,,HSOY,,,,,,,,,,
J1206-0144,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1206-3937,Martin2010,Martin2010,,,,,,HSOY,,,2MASS,,,,HSOY,,,,,,,,,,
J1207-3151,Reid2008,Reid2008,,,,,,GagneBDs,PS1,,2MASS,,,,,,,,,,,,,,
TWA27A,Gizis2002,Faherty2016,Filippazzo2015,Filippazzo2015,Faherty2016,Faherty2016,Duco2008,HSOY,,,2MASS,,Gagne2015c,Gagne2015c,HSOY,Faherty2016,,,,,,,,,
TWA 27 B,Chauvin2004,,,,,,,Gizis2007,,,,,,Riedel2016,,,,,,,,,,,
J1207-3909,Reid2008,Reid2008,,,,,,GagneBDs,,,2MASS,,,,Gaia1,,,,,,,,,,
J1207+1339,Burningham2010b,Burningham2010b,,,,,,,PS1,,,Burningham2010b,,,,,,,,Burningham2010b,,,,,
J1207+0244,Hawley2002,Hawley2002,,,,,Faherty2012,Jameson2008,PS1,PS1,2MASS,,Burgasser2010a,,,Schmidt2010,,,,,Radigan2014b,,,,
2MASS J12074836-3900043,Gagne2014b,Gagne2015c,Filippazzo2015,Filippazzo2015,Faherty2016,Faherty2016,,Gagne2014b,,,2MASS,,Gagne2015c,Faherty2016,,,,,,,,,,,
J120751.17+302808.9,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J1208+4452,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010;West2008,,,,,,,,,
J1209+3233,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010,,,,,,,,,
J1209+5429,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010,,,,,,,,,
J1209-1004,Burgasser2004,Kirkpatrick2008,,,,,Dupuy2012,Burgasser2004,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1210+0307,Knapp2004,Knapp2004,,,,,,,PS1,PS1,,,,,,,,,,,,,,,
J182.6569-26.6197,Best2015,Best2015,,,,,,Best2015,PS1,PS1,2MASS,,,,,,,,,,,,,,
2MASS J12113013+0406096,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,Robert2016,,,,,,,,,,,,,
J121142.07+613539.9,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J1212+1010,Burningham2013,Burningham2013,,,,,,,PS1,PS1,,Burningham2013,,,,,,,,Burningham2013,,,,,
J1213-0432,Cruz2003,Cruz2003,,,,,,Jameson2008,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1213+1529,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J183.4547+40.7901,Best2015,Best2015,,,,,,Best2015,PS1,PS1,Best2015,,,,,,,,,,,,,,
J1214+3721,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010;West2008,,,,,,,,,
J1214+6316,Chiu2006,Chiu2006,,,,,,GagneBDs,PS1,PS1,2MASS,,Metchev2008,,,,,,,,,,,,
J183.9318-09.7914,Best2015,Best2015,,,,,,Best2015,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1215-3420,Looper2007,Looper2007,,,,,Faherty2012,Dupuy2012,,,2MASS,,,,,,,,,,,,,,
J1216+4456,Cruz2007,Cruz2007,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1216+4927,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1216+3003,Chiu2006,Chiu2006,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
1217-0311,Burgasser1999,Burgasser2003d,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Tinney2003,Tinney2003,PS1,,2MASS,,,,,,,,,,,,,,
J1217-4830,Kirkpatrick2010,Kirkpatrick2010,,,,,,GagneBDs,,,2MASS,,,,,,,,,,,,,,
J1217-0237,Geibetaler2011,Geibetaler2011,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
2MASS J12173549+0708334,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1217+1427,Deacon2014,Deacon2014,,,,,VanLeuuwen2007,GagneBDs,PS1,PS1,2MASS,,Deacon2014,,Gaia1,,,,,,,,,,
WISEPC J121756.91+162640.2AB,Liu2012,Liu2012,,,,,Leggett2017,Leggett2017,,PS1,2MASS,Kirkpatrick2011,Liu2012,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J1218+1140,Kirkpatrick2016,Kirkpatrick2016,,,,,,,PS1,PS1,,,,,Gaia1,,,,,,,,,,
2MASS J12184982-1332525,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,,Robert2016,,,,,,,,,,,,
J1219+3128,Chiu2006,Gagne2015c,,Gagne2015c,Gagne2015c,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1221+0257,Reid2008,Gagne2015c,,Gagne2015c,Gagne2015c,,,HSOY,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,HSOY,,,,,,,,,,
SDSS J122150.17+463244.4,Theissen2017,,,,Theissen2017,,,HSOY,PS1,PS1,2MASS,,,,HSOY,,,,,,,,,,
J1221-3136,Mace2013,Mace2013,,,,,,GagneBDs,,,2MASS,,,,,,,Mace2013,Mace2013,,,,,,
J122221.95-213948.6,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J1222-2116,Kirkpatrick2016,Kirkpatrick2016,,,,,,,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1223-0131,Burningham2013,Burningham2013,,,,,,,PS1,,,Burningham2013,,,,,,,,Burningham2013,,,,,
J1223+5510,Schneider2016,Kirkpatrick2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,Gaia1,,,,,,,,,,
J1225-0215,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
1225-2739,Burgasser1999,Burgasser2003d,,,,,Tinney2003,Tinney2003,PS1,PS1,2MASS,,Burgasser2003,,,,,,,,,,,,
J1225-1013,Mace2013,Mace2013,,,,,,GagneBDs,PS1,PS1,2MASS,Mace2013,,,,,,Mace2013,Mace2013,,,,,,
2MASS J12255900-1013413,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,Robert2016,,,,,,,,,,,,,
J186.5342+21.8364,Best2015,Best2015,,,,,,Best2015,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1226-3316,Gagne2015c,Gagne2015c,,,,,,HSOY,APASS9,,2MASS,,Gagne2015c,Gagne2015c,HSOY,,,,,,,,,,
J1227+0213,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,West2008,,,,,,,,,
J1227-0636,Faherty2016,Faherty2016,,,,Gagne2015c,,Faherty2016,PS1,PS1,2MASS,,Faherty2016,Gagne2015c,Gaia1,,,,,,,,,,
1228-1547,Delfosse1997,Gagne2015c,,Gagne2015c,Gagne2015c,,Dupuy2012,Dahn2002,PS1,PS1,2MASS,,Bouy2003,,,Galvez_Ortiz2010,,,,,,,,,
J1228+5833,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010;West2008,,,,,,,,,
J1228+0050,Hawley2002,Hawley2002,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,West2008,,,,,,,,,
J1230+2827,Sheppard2009,Sheppard2009,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1231-3801,Gagne2015c,Gagne2015c,,,,,,,,,2MASS,,Gagne2015c,Gagne2015c,Gaia1,,,,,,,,,,
J1231+4959,Cruz2007,Cruz2007,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1231+0847,Burgasser2004,Burgasser2006,,,,,,Burgasser2004,PS1,,2MASS,,,,,,,,,,,,,,
J1231+0912,Burningham2010b,Burningham2010b,,,,,,,PS1,,,Burningham2010b,Burningham2010b,,,,,,,Burningham2010b,,,,,
J1232+0223,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,West2008,,,,,,,,,
J1232-0951,Reid2008,Reid2008,,,,,,HSOY,PS1,PS1,2MASS,,,,HSOY,,,,,,,,,,
J1232-0033,Masters2012,Masters2012,,,,,,,PS1,PS1,,,,,,,,,,,,,,,
J1233+2138,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1233+1219,Burningham2010b,Burningham2010b,,,,,,,PS1,PS1,,Burningham2010b,Burningham2010b,,,,,,,Burningham2010b,,,,,
J1237-6215,Stanway2004,Stanway2004,,,,,,,PS1,PS1,,,,,,,,,,,,,,,
1237+6526,Burgasser1999,Burgasser2003d,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Vrba2004,Vrba2004,PS1,,2MASS,,,,,,,,,,,,,,
J123813.77+475101.8,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J1238+0953,Burningham2008,Burningham2008,,,,,,Burningham2008,PS1,,,Burningham2008,,,,,,,,Burningham2008,,,,,
J1239+1025,Burningham2010b,Burningham2010b,,,,,,,PS1,,,Burningham2010b,,,,,,,,Burningham2010b,,,,,
1239+5515,Kirkpatrick2000,Gagne2015c,,Gagne2015c,Gagne2015c,,Dupuy2012,Jameson2008,PS1,PS1,2MASS,,Gizis2003,,,Schmidt2010,,,,,,,,,
J1239+3209,Deacon2014,Deacon2014,,,,,,,PS1,PS1,2MASS,,Deacon2014,,,,,,,,,,,,
J1240+2047,Kirkpatrick2016,Kirkpatrick2016,,,,,,,PS1,PS1,,,,,Gaia1,,,,,,,,,,
J1240+1525,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010;West2008,,,,,,,,,
J1241-2457,Kirkpatrick2016,Kirkpatrick2016,,,,,,,PS1,PS1,,,,,,,,,,,,,,,
J1243+8445,Thompson2013,Thompson2013,,,,,,,PS1,,,Thompson2013,,,,,,,,,,,,,
UL1244E,Zhang2017,Zhang2017,,Zhang2017,Zhang2017,,,,PS1,PS1,,,,,,,,,,,,,,,
UL1244W,Lodieu2012b,Zhang2017,,,,,,GagneBDs,PS1,PS1,2MASS,Zhang2017,Lodieu2012b,,,,,,,Zhang2017,,,,,
J1245-0132,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
TWA29,Faherty2016,Faherty2016,Filippazzo2015,Filippazzo2015,Faherty2016,Faherty2016,Faherty2016,Faherty2016,,,2MASS,,Faherty2016,Faherty2016,Gaia1,,,,,,,,,,
J1245+1204,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1245+4902,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010,,,,,,,,,
J1246-3139,Andrei2011,Mace2013,,,,,Marocco2013,GagneBDs,,,2MASS,,,,,,,Mace2013,Mace2013,,,,,,
J1246+6150,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,West2008,,,,,,,,,
J1246+4027,Kirkpatrick2000,Kirkpatrick2000,,,,,,Jameson2008,PS1,PS1,2MASS,,Kirkpatrick2008,,,,,,,,,,,,
J1247-4441,Kirkpatrick2016,Kirkpatrick2016,,,,,,,,,,,,,,,,,,,,,,,
J1247-4344,Kirkpatrick2016,Kirkpatrick2016,,,,,,HSOY,,,2MASS,,,,HSOY,,,,,,,,,,
J1247-3816,Faherty2016,Faherty2016,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,Faherty2016,,,2MASS,,Faherty2016,Gagne2015c,,,,,,,,,,,
J1247-1117,Kirkpatrick2010,Kirkpatrick2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1248+0759,Burningham2010b,Burningham2010b,,,,,,,,PS1,,Burningham2010b,,,,,,,,Burningham2010b,,,,,
J1249+4157,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,West2008;Schmidt2010,,,,,,,,,
UL1249,Zhang2017,Zhang2017,,Zhang2017,Zhang2017,,,Zhang2017,PS1,PS1,,Zhang2017,,,,Zhang2017,,,,Zhang2017,,,,,
J1250+3925,Chiu2006,Chiu2006,,,,,,Sheppard2009,PS1,PS1,2MASS,,,,,,,,,,,,,,
J192.5647+26.4796,Best2015,Best2015,,,,,,Best2015,PS1,PS1,Best2015,,,,,,,,,,,,,,
J192.6717-21.8250,Best2015,Best2015,,,,,,Best2015,PS1,PS1,Best2015,,,,,,,,,,,,,,
J1250+0417,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,West2008,,,West2008;Schmidt2010,,,,,,,,,
J1250+4418,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,West2008,,,,,,,,,
J1251+6243,Zhang2009,Zhang2009,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,West2008,,,,,,,,,
J1252-3415,Gagne2015c,Gagne2015c,,,,,,HSOY,APASS9,,2MASS,,Gagne2015c,Gagne2015c,HSOY,,,,,,,,,,
J1252+1422,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1252+1835,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1252+3421,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1253-5709,Phan-Bao2008,Phan-Bao2008,,,,,,Phan-Bao2008,,,2MASS,,,,,,,,,,,,,,
J1253+2728,Gagne2015c,Gagne2015c,,Gagne2015c,,,,,PS1,PS1,,,,,,,,,,,,,,,
J1253-4211,Faherty2016,Faherty2016,Gagne2015c,Gagne2015c,,Gagne2015c,,Faherty2016,,,2MASS,,Faherty2016,Gagne2015c,,,,,,,,,,,
J1254+2938,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,West2008;Schmidt2010,,,,,,,,,
J1254+1222,Burningham2013,Burningham2013,,,,,,,PS1,,,Burningham2013,,,,,,,,Burningham2013,,,,,
J1254-0728,Thompson2013,Thompson2013,,,,,,,PS1,PS1,,Thompson2013,,,,,,,,,,,,,
1254-0122,Leggett2000,Burgasser2003d,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Dahn2002,Dahn2002,PS1,PS1,2MASS,,,,,,Miles-Paez2013,,,,,,,,
J1254+2631,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1255+1701,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
SD1256,Sivarani2009,Zhang2017,,Zhang2017,Zhang2017,,Schilbach2009,Schilbach2009,PS1,PS1,2MASS,,Burgasser2009,,,West2008,,,,,,,,,
J1256-2718,Faherty2016,Faherty2016,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,Faherty2016,PS1,PS1,2MASS,,Faherty2016,Gagne2015c,,,,,,,,,,,
J1256+1514,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,West2008,,,,,,,,,
2MASS J12565644-1002432,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,,Robert2016,,,,,,,,,,,,
J1256+0146,Reid2008,Reid2008,,,,,,Jameson2008,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1257+1108,Burningham2010b,Burningham2010b,,,,,,,PS1,PS1,,Burningham2010b,,,,,,,,Burningham2010b,,,,,
J1257+4008,Mace2013,Mace2013,,,,,,,,PS1,2MASS,,,,,,,Mace2013,Mace2013,,,,,,
J1257-0113,Geballe2002,Hawley2002,,,,,,Jameson2008,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1257-3635,Gagne2015c,Gagne2015c,,,,,,,,,2MASS,,,Gagne2015c,,,,,,,,,,,
J1257-4111,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,,,,2MASS,,Gagne2015c,Gagne2015c,,,,,,,,,,,
J1258-4412,Lodieu2012,Lodieu2012,,,,,,Lodieu2012,,,,,,,,,,,,,,,,,
J1258+0307,Burningham2013,Burningham2013,,,,,,,PS1,PS1,,Burningham2013,,,,,,,,Burningham2013,,,,,
J1259+2933,Burningham2013,Burningham2013,,,,,,,PS1,PS1,,Burningham2013,,,,,,,,Burningham2013,,,,,
J130010.09+551728.8,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
1300+1221,,,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,,,,PS1,,,,,,,,,,,,,,,
Ross 458 C,Goldman2010 ; Scholz2010,Burgasser2010,,,,,Perryman1997,Goldman2010,SDSS9,PS1,,16.900   0.060,,,,,,,,,,,,,
J1300+1912,Gizis2000,Gizis2000,,,,,,Schmidt2007,PS1,,2MASS,,Burgasser2008b,,,Blake2010,,,,,Radigan2014b,,,,
J1300+4214,Deacon2014,Deacon2014,,,,,VanLeuuwen2007,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
SDSS J130116.98+411240.4,Theissen2017,,,,Theissen2017,,,HSOY,PS1,PS1,2MASS,,,,HSOY,,,,,,,,,,
J1301-0302,Mace2013,Mace2013,,,,,,,PS1,,,Mace2013,,,,,,Mace2013,Mace2013,,,,,,
J1301+5841,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1301-1510,Reid2008,Gagne2015c,,Gagne2015c,Gagne2015c,,,Jameson2008,PS1,PS1,2MASS,,Gagne2015c,Gagne2015c,,,,,,,,,,,
J1302+1308,Burningham2010b,Burningham2010b,,,,,,,PS1,PS1,,Burningham2010b,,,,,,,,Burningham2010b,,,,,
J1302+1434,Burningham2013,Burningham2013,,,,,,,PS1,,,Burningham2013,,,,,,,,Burningham2013,,,,,
J1302+5126,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,West2008;Schmidt2010,,,,,,,,,
J1302+5650,Kirkpatrick2010,Kirkpatrick2010,,,,,,GagneBDs,PS1,PS1,2MASS,,Kirkpatrick2010,,,Kirkpatrick2010,,,,,,,,,
J1302+5640,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1303+0016,Pinfield2008,Pinfield2008,,,,,,,PS1,,,Pinfield2008,,,,,,,,Pinfield2008,,,,,
J1303+1815,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1304+0907,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
13043568+1542521,Kellogg2015,Kellogg2015,,,,,,,PS1,PS1,2MASS,,Kellogg2015,,,,,,,,,,,,
WISEA J130523.06-395104.9,Schneider2017,Schneider2017,,,,,,Schneider2017,,,Schneider2017,,Schneider2017,Schneider2017,,,,,,,,,,,
J1305-2538,Masters2012,Masters2012,,,,,,,PS1,PS1,,,,,,,,,,,,,,,
1305-2541,Ruiz1997,Kirkpatrick1999,,,,,Dupuy2012;Dahn2002,HSOY,PS1,PS1,2MASS,,Stumpf2008 ; Kirkpatrick2008,,,Blake2010,Zapatero-Osorio2005,,,,,,,,
Cha J1305-7739,Allers2006,Jayawardhana2006,,,,,,,,,,,Jayawardhana2006,Jayawardhana2006,,,,,,,,,,,
J1305+2046,Cruz2003,Cruz2003,,,,,VanLeeuwen2007,Jameson2008,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010,,,,,,,,,
J1305-1019,Kirkpatrick2016,Kirkpatrick2016,,,,,,,PS1,PS1,,,,,Gaia1,,,,,,,,,,
J1306+3820,Reid2008,Reid2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010,,,,,,,,,
J130729.56-055815.4,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
2MASS J13072984-0558146,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,Robert2016,Robert2016,,,,,,,,,,,,
J1308+6103,Geibetaler2011,Geibetaler2011,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
2MASS J13083106+0818522,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,,,,,,,,,,,,,,
2MASS J13084263+0432441,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,,Robert2016,,,,,,,,,,,,
J1310+0554,West2008,West2008,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,West2008;Schmidt2010,,,,,,,,,
J1311+0122,Kirkpatrick2011,Kirkpatrick2011,,,,,,,PS1,,,Scholz2012?,,,,,,Kirkpatrick2011,Kirkpatrick2011,Scholz2012?,,,,,
J1311+2401,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1311+3629,Zhang2009,Zhang2009,,,,,,GagneBDs,PS1,PS1,2MASS,,Kirkpatrick2011 ; Bardalez-Gagliuffi2014,,,,,Kirkpatrick2011,Kirkpatrick2011,,,,,,
J1312+3937,Cruz2007,Cruz2007,,,,,,Jameson2008,PS1,PS1,2MASS,,,,,West2008,,,,,,,,,
J1312-7617,Luhman2014a,Luhman2014a,,,,,,GagneBDs,,,2MASS,,,,,,,,,,,,,,
J1312+2909,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
2MASS J13124062-6408313 B,Beamin2017,,,,,,Beamin2017,Beamin2017,,,2MASS,,,,,,,,,,,,,,
J1314-0008,Geballe2002,Knapp2004,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J1314+2405,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1315+0826,Pinfield2008,Pinfield2008,,,,,Marocco2010a,,PS1,,,Pinfield2008,,,,,,,,Pinfield2008,,,,,
2MASS J13153094-2649513AB,Liu2016,Liu2016,,,,,Liu2016,Liu2016,PS1,PS1,,,Liu2016,,,,,,,,,,,,
J1315-2649,Hall2002,Kirkpatrick2008,,,,,,GagneBDs,PS1,PS1,2MASS,,Burgasser2011b,,,,,,,,,,,,
J1315+2334,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
J1315+2454,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,Schmidt2010,,,,,,,,,
J1316+0755,Burningham2014,Burningham2014,,,,,,Burningham2014,PS1,PS1,,Burningham2014,Burningham2014,,,,,,,Burningham2014,,,,,
J1316+2133,Schmidt2010,Schmidt2010,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,Schmidt2010,,,,,,,,,
2MASS J13174922+0448149,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,,,,,,,,,,,,,,
