Name,DiscRef,r_SpT,r_radius,r_log_g,r_Teff,r_Mass,r_D_Trig,r_pm,r_SDSS,r_PanSTARRS_y,JHKRef,MKORef,r_Peculiarities,r_Member,r_Gaia-G,r_RV,Polarization Ref,r_IRAC3p6,r_IRAC4p5,r_MKO-Y,r_Variable,r_Variable_period,r_IRAC5p8,r_IRAC8,r_MKO-L
J0646+7935,Loutrel2011,Loutrel2011,,,,,VanLeuuwen2007 (host),Loutrel2011,PS1,PS1,2MASS,,Loutrel2011,,,,,,,,,,,,
J101.8428+39.7462,Best2015,Best2015,,,,,,Best2015,PS1,PS1,Best2015,,,,,,,,,,,,,,
J0647-6323,Kirkpatrick2013,Kirkpatrick2013,,,,,Kirkpatrick2013,,,,,,,,,,,,,,,,,,
J0647-1546,Scholz2014,Scholz2014,,,,,,Scholz2014,PS1,PS1,2MASS,,,,,,,,,,,,,,
HD 49197 B,Metchev2004,Metchev2004,,,,,Gaia1,HSOY,PS1,PS1,2MASS,,Metchev2004,,HSOY,,,,,,,,,,
J0649-3823,Gagne2015c,Gagne2015c,,,,,,HSOY,APASS9,,2MASS,,,Gagne2015c,HSOY,,,,,,,,,,
0652-2534,Phan-Bao2008,Phan-Bao2008,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Dieterich2014,HSOY,PS1,PS1,2MASS,,,,HSOY,,,,,,,,,,
J103.0927+41.4601,Best2015,Best2015,,,,,,Best2015,PS1,PS1,2MASS,Best2013,,,,,,,,,,,,,
J0652+4710,Cruz2003,Gagne2015c,,Gagne2015c,Gagne2015c,,,GagneBDs,PS1,PS1,2MASS,,Cruz2007,,,Blake2010,,,,,,,,,
2MASS J06524851-5741376,Faherty2016,Faherty2016,,,,,Faherty2016,Faherty2016,,,2MASS,,Faherty2016,,,,,,,,,,,,
J0654+6528,Chiu2006,Gagne2015c,,Gagne2015c,Gagne2015c,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J065558.41+831810.6,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,Gaia1,,,,,,,,,,
J0656+4205,Kirkpatrick2011,Kirkpatrick2011,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,Mace2013,Mace2013,,,,,,
WISEA J065935.80+771457.8,Schneider2017,,,,,,,Schneider2017,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0659+1717,Kirkpatrick2014,Kirkpatrick2014,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
0700+3157,Thorstensen2003,Thorstensen2003,,,,,Dupuy2012,Thorstensen2003,PS1,PS1,2MASS,,Reid2006,,,Blake2010,Miles-Paez2013,,,,,,,,
J105.4992+63.3581,Best2015,Best2015,,,,,,Best2015,PS1,PS1,Best2015,,,,,,,Mace2013,Mace2013,,,,,,
J0705-1007,Kirkpatrick2016,Kirkpatrick2016,,,,,,HSOY,PS1,PS1,2MASS,,,,HSOY,,,,,,,,,,
WISEA J070534.00-183925.6,Schneider2017,Schneider2017,,,,,,Schneider2017,PS1,PS1,Schneider2017,,,,,,,,,,,,,,
0707-4900,,SkiffBMK,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,,,,,2MASS,,,,,,,,,,,,,,
J0708+2950,Kirkpatrick2000,Kirkpatrick2000,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
J0708-4701,Gagne2015c,Gagne2015c,,Gagne2015c,Gagne2015c,,,,,,2MASS,,Gagne2015c,Gagne2015c,Gaia1,,,,,,,,,,
WISEA J071138.88+370601.0,Schneider2017,Schneider2017,,,,,,Schneider2017,PS1,PS1,Schneider2017,,,,,,,,,,,,,,
2MASS J07123786-6155528,Cruz2009,Cruz2009,,,Faherty2016,Faherty2016,Faherty2012,Dupuy2012,,,2MASS,,Cruz2009,,,,,,,,,,,,
J0713-2917,Kirkpatrick2012,Kirkpatrick2012,,,,,,,PS1,PS1,,,,,,,,,,,,,,,
